|name        |gcn_name  |time                   |ra      |dec     |error_radius|redshift|        t90|        t90_error|        fluence|        fluence_error|
|GRB190515190|GRB190515A|2019-05-15 04:33:03.004|197.1983| 41.7693|      0.9500|        |      1.264|          0.47100|    1.54250e-07|          1.17630e-08|
|GRB210802839|GRB210802A|2021-08-02 20:08:05.997| 46.7844| 56.6336|      0.2240|        |     10.240|          0.81000|    1.85870e-05|          2.07130e-08|
|GRB200716957|GRB200716C|2020-07-16 22:57:40.997| 82.5863| 86.3683|      0.1700|        |      5.312|          0.38900|    9.65140e-06|          2.04340e-08|
|GRB161015710|GRB161015A|2016-10-15 17:03:07.001| 55.7610| 24.3134|      0.4200|        |     15.104|          0.36200|    1.18140e-05|          1.59790e-08|
|GRB220101215|GRB220101A|2022-01-01 05:10:11.001|111.7965|-30.1300|      0.4700| 4.61800|    128.259|         15.79200|    6.03750e-05|          1.77380e-07|
|GRB180305393|GRB180305A|2018-03-05 09:26:07.996|155.9116|-21.1802|      0.1100|        |     13.056|          0.81000|    5.80650e-05|          6.49350e-08|
|GRB210619999|GRB210619B|2021-06-19 23:59:24.999| 80.4621|-11.5312|      0.3600| 1.93700|     54.785|          0.57200|    3.02480e-04|          1.23250e-07|
|GRB171124235|GRB171124A|2017-11-24 05:37:55.998| 91.4707|-18.3496|      0.2000|        |     26.176|          0.92300|    3.61660e-06|          2.19240e-08|
|GRB190530430|GRB190530A|2019-05-30 10:19:08.000|185.4022| 29.0807|      0.2500|        |     18.432|          0.36200|    3.70620e-04|          5.24750e-08|
|GRB140124527|GRB140124A|2014-01-24 12:38:31.001|159.3533|-12.5590|      0.3300|        |    121.538|          5.83800|    2.01420e-05|          1.41710e-07|
|GRB160816730|GRB160816A|2016-08-16 17:30:57.001| 84.2371|-10.1131|      0.2300|        |     11.072|          0.09100|    3.32750e-05|          1.71100e-08|
|GRB160910722|GRB160910A|2016-09-10 17:19:39.003| 66.3975| 63.5769|      0.5900|        |     24.320|          0.36200|    7.96600e-05|          2.53090e-08|
|GRB121011469|GRB121011A|2012-10-11 11:15:25.004| 66.0423| 33.9321|      0.0100|        |     65.793|          4.38200|    3.98430e-06|          3.62600e-08|
|GRB140416060|GRB140416A|2014-04-16 01:26:40.001|140.5510|-17.6191|      0.1000|        |     31.744|          1.28000|    8.14040e-05|          3.87020e-07|
|GRB160623209|GRB160623A|2016-06-23 05:00:34.004| 84.1740| -2.6743|      0.0900| 0.36700|    107.776|          8.69300|    3.95640e-06|          6.87020e-08|
|GRB160821857|GRB160821A|2016-08-21 20:34:30.003|166.5733| 66.7930|      0.1200|        |     43.009|          0.72400|    5.22210e-04|          8.58640e-08|
|GRB111210359|GRB111210B|2011-12-10 08:37:39.003|175.9649| 32.1563|      0.8200|        |     60.000|                 |               |                     |
|GRB130907904|GRB130907A|2013-09-07 21:41:13.001| 84.4330| 63.9298|      0.2600| 1.23800|    210.000|                 |               |                     |
|GRB160314929|GRB160314B|2016-03-14 22:17:52.996|163.2595| 62.7827|      0.7900|        |     98.562|          5.43100|    4.46710e-06|          5.85580e-08|
|GRB210410037|GRB210410A|2021-04-10 00:53:15.996| 72.5999| 28.0546|      0.7400|        |     48.128|          2.82800|    3.10060e-05|          9.96090e-08|
|GRB200613229|GRB200613A|2020-06-13 05:30:08.004|171.3807| 53.4222|      0.0950| 1.22700|    478.026|          3.16800|    4.88730e-05|          2.27870e-07|
|GRB160917479|GRB160917A|2016-09-17 11:30:19.002| 79.6595| 11.1962|      0.0100|        |     19.456|          5.63800|    5.23240e-06|          6.18810e-08|
|GRB130518580|GRB130518A|2013-05-18 13:54:36.999|111.0235|-13.7382|      0.1900| 2.49000|     48.577|          0.91600|    9.45910e-05|          1.54280e-07|
|GRB131029973|GRB131029A|2013-10-29 23:20:48.002|108.4424| 68.1891|      0.1800|        |    104.449|          7.24100|    2.89580e-05|          1.23030e-07|
|GRB190122305|GRB190122A|2019-01-22 07:19:06.997| 74.3881| 35.6316|      0.9100|        |     54.016|          3.33800|    6.78090e-06|          4.05130e-08|
|GRB120226871|GRB120226A|2012-02-26 20:54:17.001| 84.4166|  8.2326|      0.6800|        |     52.993|          0.57200|    5.20360e-05|          9.13830e-08|
|GRB120729456|GRB120729A|2012-07-29 10:56:11.996|123.1966|-12.9609|      0.3800| 0.80000|     25.472|          2.61200|    5.07870e-06|          5.29850e-08|
|GRB170306588|GRB170306B|2017-03-06 14:07:22.002|162.0261| 52.3072|      0.7100|        |     18.944|          0.92300|    2.69200e-05|          7.17290e-08|
|GRB130305486|GRB130305A|2013-03-05 11:39:11.002|166.2180| 29.4095|      0.0600|        |     25.600|          1.55700|    4.64900e-05|          7.18300e-08|
|GRB170921168|GRB170921B|2017-09-21 04:02:11.003|165.8633| 33.8215|      0.2600|        |     39.361|          4.48100|    6.56400e-05|          3.26330e-07|
|GRB150416773|GRB150416A|2015-04-16 18:33:24.998|148.5600| -0.5255|      1.9300|        |     33.280|          3.66500|    6.23750e-06|          5.90160e-08|
|GRB171102107|GRB171102A|2017-11-02 02:33:35.001|129.5570| 62.8530|      0.8200|        |     48.385|          0.57200|    2.91670e-05|          2.62990e-08|
|GRB160101215|GRB160101B|2016-01-01 05:10:12.003|116.3538| -7.0532|      1.3700|        |     22.013|          1.61900|    1.86660e-06|          3.30250e-08|
|GRB120915000|GRB120915A|2012-09-15 00:00:40.997| 88.0620| 44.9119|      1.7600|        |      0.576|          1.31800|    5.05450e-07|          2.54760e-08|
|GRB110903111|GRB110903A|2011-09-03 02:39:34.001|118.6208| 58.1307|      0.0700|        |    341.254|          2.28800|    3.47030e-05|          7.61000e-08|
|GRB150202999|GRB150202B|2015-02-02 23:59:07.996|153.6284| 15.0924|      0.3300|        |    167.427|          3.36700|    3.25220e-05|          9.45210e-08|
|GRB210306162|GRB210306A|2021-03-06 03:53:57.002|156.3558| 36.7925|      0.3700|        |      9.536|          0.14300|    8.64470e-06|          2.40620e-08|
|GRB200524211|GRB200524A|2020-05-24 05:03:59.999|106.7892| 53.5045|      0.1280| 1.25600|     37.761|          6.20900|    1.39640e-05|          9.12710e-08|
|GRB220210998|GRB220210A|2022-02-10 23:56:37.997|111.2570|  0.4496|      0.9900|        |     43.520|          4.47100|    1.65310e-06|          6.16530e-08|
|GRB161109263|GRB161109A|2016-11-09 06:18:44.997|146.9343| 48.2539|      0.3900|        |     23.552|          1.37900|    2.09170e-05|          6.00810e-08|
|GRB200412381|GRB200412B|2020-04-12 09:08:39.998| 91.7998| 27.0475|      0.9290|        |      6.080|          0.28600|    7.24890e-05|          3.45810e-07|
|GRB150314205|GRB150314A|2015-03-14 04:54:50.003|152.3716| 34.3558|      0.7200| 1.75800|     10.688|          0.14300|    8.15920e-05|          1.27980e-07|
|GRB110529034|GRB110529A|2011-05-29 00:48:41.996|147.8849| 30.7830|      1.5000|        |      0.512|          0.09100|    1.47270e-06|          1.32620e-08|
