GRBname     Trig_ID     Trig_time_met  Trig_time_UTC               RA_ground     DEC_ground     Image_position_err  Image_SNR     T90           T90_err       T50           T50_err       Evt_start_sincetrig  Evt_stop_sincetrig  pcode   Trigger_method               XRT_detection  comment                T90_start
----------  ----------  -------------  --------------------------  ------------  -------------  ------------------  ------------  ------------  ------------  ------------  ------------  -------------------  ------------------  ------  ---------------------------  -------------  ---------------------  ---------
GRB240101A  1205708     725811649.984  2024-01-01T14:20:17.331180  1.032464e+01  8.534202e+00   2.203620e+00        9.838368e+00  1.641600e+01  3.391132e+00  7.888000e+00  2.479548e+00  -240                 962                 0.6641  rate trigger                 Yes                                   -4.0
GRB231230A  1205319     725592581.376  2023-12-30T01:29:08.738220  2.452222e+02  5.813193e+01   1.126147e+00        2.566913e+01  1.524000e+01  9.222234e-01  7.748000e+00  1.400206e+00  -239                 963                 0.3555  rate trigger                 Yes                                   1.128
GRB231216A  1202749     724444574.592  2023-12-16T18:35:42.032980  3.977787e+01  3.361517e+01   2.048455e+00        1.092002e+01  5.114000e+01  3.050031e+00  4.314800e+01  2.643694e+00  -240                 963                 0.5938  rate trigger                 Yes                                   -0.528
GRB231215A  1202522     724326477.824  2023-12-15T09:47:25.273080  9.729820e+00  5.763370e+01   1.296588e+00        2.098807e+01  2.209600e+01  3.472525e+00  7.040000e+00  1.432603e+00  -240                 962                 0.0654  rate trigger                 Yes                                   -5.792
GRB231214A  1202386     724278300.864  2023-12-14T20:24:28.316380  3.056688e+02  -7.243144e+01  9.176696e-01        3.438932e+01  2.763600e+01  4.568637e+00  1.382000e+01  5.367308e-01  -61                  984                 0.3906  rate trigger                 Yes                                   -2.396
GRB231210B  1201696     723936577.024  2023-12-10T21:29:04.499760  9.580293e+01  -4.833463e+01  1.761250e+00        1.355020e+01  7.472000e+00  6.479506e-01  4.048000e+00  8.921345e-01  -60                  963                 0.1758  rate trigger                 Yes                                   0.008
GRB231205B  1200812     723487472.0    2023-12-05T16:43:59.506460  5.415053e+01  2.714630e+01   9.781400e-01        3.139288e+01  6.400000e+01  1.600000e+01  1.600000e+01  1.600000e+01  -239                 963                 0.5078  image trigger                Yes                                   -31.0
GRB231129A  1199764     722927191.552  2023-11-29T05:05:59.096760  3.175410e+02  4.153033e+01   9.604032e-01        3.222439e+01  1.063240e+02  2.018324e+00  6.652000e+01  1.336700e+00  -240                 963                 0.4648  rate trigger                 Yes                                   1.92
GRB231118A  1197311     722020625.6    2023-11-18T17:16:33.206740  4.840021e+00  -4.804358e+01  7.716568e-01        4.404950e+01  1.514880e+02  9.402678e+01  6.944000e+00  7.222401e+00  -240                 963                 0.5547  rate trigger                 Yes                                   -4.288
GRB231117A  1197027     721883032.064  2023-11-17T03:03:19.680140  3.324042e+02  1.351728e+01   6.032611e-01        6.261555e+01  6.679999e-01  7.299319e-02  1.999999e-01  8.944317e-03  -239                 963                 0.8359  rate trigger                 Yes                                   -0.02
GRB231111A  1195887     721405072.064  2023-11-11T14:17:19.712860  2.901988e+02  5.244006e+01   7.729632e-01        4.394318e+01  3.407600e+01  4.850340e+00  1.161200e+01  8.603069e-01  -239                 963                 0.6172  rate trigger                 Yes                                   -3.744
GRB231110A  1195733     721344007.168  2023-11-10T21:19:34.821020  3.562546e+02  8.262810e+01   1.249555e+00        2.212567e+01  1.201200e+01  3.467468e+00  4.948000e+00  1.047855e+00  -239                 963                 0.3438  rate trigger                 Yes                                   -0.612
GRB231104A  1194500     720755292.224  2023-11-04T01:47:39.917340  2.382329e+01  8.379422e+01   5.125638e-01        7.902493e+01  4.671200e+01  1.568418e+00  2.200400e+01  2.274380e-01  -239                 963                 0.8906  rate trigger                 Yes                                   -5.756
GRB231028A  1193078     720158981.824  2023-10-28T04:09:09.558200  2.140160e+02  2.089630e+01   6.603723e-01        5.502535e+01  3.711200e+01  9.636763e-01  1.488400e+01  1.293213e+00  -240                 962                 0.6875  rate trigger                 Yes                                   -2.036
GRB230911C  1191188     716114877.504  2023-09-11T08:47:25.515160  2.268013e+02  -4.135260e+01  1.869955e+00        1.243908e+01  1.448800e+01  2.858812e+00  6.356000e+00  3.067904e+00  -240                 963                 0.9531  rate trigger                 Yes                                   -7.376
GRB230903A  1189514     715454608.192  2023-09-03T17:22:56.248260  9.897540e+00  -4.090888e+01  1.853172e+00        1.260032e+01  2.536000e+00  2.694290e-01  1.580000e+00  5.442499e-01  -344                 963                 0.4062  rate trigger                 Yes                                   0.276
GRB230826A  1187463     714771198.976  2023-08-26T19:32:47.078920  8.304964e+01  6.612486e+01   6.182241e-01        6.046184e+01  4.084000e+01  1.658322e+00  1.218800e+01  8.655725e-01  -240                 1091                0.8750  rate trigger                 Yes                                   -2.752
GRB230818A  1186032     714094086.208  2023-08-18T23:27:34.357180  2.858869e+02  4.088654e+01   1.157656e+00        2.467691e+01  6.400000e+01  3.577709e+01  1.600000e+01  1.600000e+01  -239                 1041                0.3242  rate trigger                 Yes                                   0.792
GRB230816A  1185673     713894960.128  2023-08-16T16:08:48.290780  3.284532e+02  3.785778e+01   1.206236e+00        2.326947e+01  1.944800e+01  3.218161e+00  7.256000e+00  1.547462e+00  -239                 963                 0.9844  rate trigger                 Yes                                   -4.248
GRB230815A  1185505     713789427.776  2023-08-15T10:49:55.945980  1.847605e+02  -5.806694e+01  1.211139e+00        2.313502e+01  1.700000e+01  7.615773e+00  2.000000e+00  1.000000e+00  -240                 962                 0.1113  rate trigger                 Yes                                   -11.776
GRB230805B  1183217     712927462.848  2023-08-05T11:23:51.076980  2.077497e+02  3.119459e+01   1.904342e+00        1.211945e+01  1.145200e+02  2.334909e+01  3.853600e+01  1.859213e+01  -240                 962                 0.4180  rate trigger                 Yes                                   -11.752
GRB230802A  1182085     712651857.92   2023-08-02T06:50:26.167840  7.622385e+01  1.955145e+01   7.472170e-01        4.612206e+01  1.751520e+02  1.729387e+01  9.946000e+01  5.211548e+01  -240                 962                 0.9922  rate trigger                 Yes                                   -1.78
GRB230728A  1181187     712205434.944  2023-07-28T02:50:03.222400  3.435141e+02  2.816951e+01   1.300888e+00        2.088904e+01  1.476000e+01  8.923072e-01  5.548000e+00  3.447074e+00  -240                 962                 0.4961  rate trigger                 Yes                                   -4.852
GRB230723B  1180410     711805384.576  2023-07-23T11:42:32.881800  2.503903e+02  -5.319407e+00  1.006541e+00        3.013515e+01  5.756000e+00  8.524812e-01  2.672000e+00  3.540396e-01  -240                 963                 0.3984  rate trigger                 Yes                                   0.116
